route_id,trip_headsign,shape_id
A1,ГАРА ПОДУЯНЕ,A1061
A1,Ж.К. ЗАПАДЕН ПАРК,A1058
A1,Ж.К. ЗАПАДЕН ПАРК,A1060
A1,ХОТЕЛ ПЛИСКА,A1059
A1,ХОТЕЛ ПЛИСКА,A2567
A100,АП ДРУЖБА,A2710
A100,ЦЕНТРАЛНА ГАРА,A674
A101,АВТОСТАНЦИЯ БАНКЯ,A2771
A101,Ж.К. ЛЮЛИН-8,A1407
A103,Ж.К. ОБЕЛЯ-1,A1737
A103,ПЛОДОХРАНИЛИЩЕ,A1738
A103,ПЛОДОХРАНИЛИЩЕ,A4096
A104,МЕТРОСТАНЦИЯ КН. МАРИЯ ЛУИЗА,A4244
A104,СЕЛО КЪТИНА,A4305
A104,СЕЛО КЪТИНА,A4243
A105,АВТОСТАНЦИЯ КНЯЖЕВО,A3508
A105,МЕТРОСТАНЦИЯ МИЗИЯ,A3461
A105,МЕТРОСТАНЦИЯ МИЗИЯ,A4086
A105,С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА,A3614
A105,С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА,A70
A106,ЗООПАРКА,A3575
A106,КВ. СИМЕОНОВО,A3574
A106,КВ. СИМЕОНОВО,A3576
A106,МЕТРОСТАНЦИЯ ВИТОША,A3577
A108,БУЛ. НИКОЛА ПЕТКОВ,A1050
A108,БУЛ. ПРАГА,A407
A108,КВ. ГОРНА БАНЯ,A3002
A108,КВ. ГОРНА БАНЯ,A417
A109,КВ. ОБЕЛЯ,A2566
A109,СЕЛО БАЛША,A2630
A110,АП МАЛАШЕВЦИ,A3408
A110,ГРАД БУХОВО,A3407
A12,АП ЗЕМЛЯНЕ,A862
A12,БАЛКАНКАР АД,A2450
A12,Ж.К. ОВЧА КУПЕЛ-2,A860
A12,Ж.К. ОВЧА КУПЕЛ-2,A2292
A12,СТУДЕНТСКИ ГРАД,A859
A12,СТУДЕНТСКИ ГРАД,A861
A121,Ж.К. ЛЮЛИН-5,A4219
A121,Ж.К. ЛЮЛИН-8,A4220
A13,МЕТРОСТАНЦИЯ СЛИВНИЦА,A4241
A13,СЕЛО ГОЛЯНОВЦИ,A4240
A167,МЕТРОСТАНЦИЯ Г. М. ДИМИТРОВ,A2663
A167,СТУДЕНТСКИ ГРАД,A2664
A167,СТУДЕНТСКИ ГРАД,A1224
A174,АВТОСТАНЦИЯ БАНКЯ,A3248
A174,АВТОСТАНЦИЯ БАНКЯ,A4321
A174,КРАЯ НА КВ. МИХАЙЛОВО,A4320
A193,АВТОСТАНЦИЯ БАНКЯ,A3249
A193,КВ. ГРАДОМАН,A1697
A193,КВ. ГРАДОМАН,A1305
A193,МЕТРОСТАНЦИЯ СЛИВНИЦА,A1696
A195,КВ. КЛИСУРА,A1594
A195,МЕТРОСТАНЦИЯ СЛИВНИЦА,A1593
A195,МЕТРОСТАНЦИЯ СЛИВНИЦА,A4136
A2,АВТОБАЗА ИСКЪР,A3910
A2,УЛ. ГЕН. ГУРКО,A3909
A200,Ж.К. МЛАДОСТ-2,A3907
A200,СЕЛО БИСТРИЦА,A3908
A200,СЕЛО БИСТРИЦА,A4151
A201,Ж.К. ВРЪБНИЦА 2,A1672
A201,Ж.К. ХАДЖИ ДИМИТЪР,A2646
A217,Ж.К. ДРУЖБА-2,A2792
A217,НИМ,A2791
A22,БЛ. 13 Ж.К. ЗАПАДЕН ПАРК,A4311
A22,ГАРА ЗАХАРНА ФАБРИКА,A4177
A22,СЕЛО МАЛО БУЧИНО,A4176
A22,СЕЛО МАЛО БУЧИНО,A4310
A224,"Ж.К. ЛЮЛИН-1,2",A4230
A224,Ж.К. МЛАДОСТ-4,A4229
A225,КВ. ОБЕЛЯ,A3967
A225,Студентски град,A3961
A226,Ж.К. ЛЕВСКИ Г,A3870
A226,Ж.К. ОВЧА КУПЕЛ 2,A4052
A227,Ж.К. ГОЦЕ ДЕЛЧЕВ,A4216
A227,Ж.К. ДРУЖБА-2,A4215
A24,АВТОСТАНЦИЯ КНЯЖЕВО,A1637
A24,АВТОСТАНЦИЯ КНЯЖЕВО,A4085
A24,ГАРА ВЛАДАЯ,A71
A242,32 СУ СВ. КЛИМЕНТ ОХРИДСКИ,A4300
A243,18 СУ УИЛЯМ ГЛАДСТОН,A3717
A25,БУЛ. ЦАР БОРИС ІІІ,A2233
A25,БУЛ. ЦАР БОРИС ІІІ,A1923
A25,БУЛ. ЦАР БОРИС ІІІ,A1924
A25,Ж.К. КРАСНО СЕЛО,A4166
A25,ЗЛАТНИ МОСТОВЕ,A4062
A25,ЗЛАТНИ МОСТОВЕ,A4063
A25,УЛ. БЯЛАТА ЧЕШМА,A3987
A25,УЛ. БЯЛАТА ЧЕШМА,A4027
A251,Ж.К. БЪКСТОН,A3649
A251,Ж.К. МЛАДОСТ-1,A3648
A251,Ж.К. МЛАДОСТ-1,A4213
A251,УЛ. Т. КАБЛЕШКОВ,A3650
A252,Ж.К. ЛОЗЕНЕЦ,A3647
A252,МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН,A3660
A253,Метростанция Горна баня,A3816
A254,ВЗ. ЛЮЛИН,A3820
A254,КАНТОНА,A3817
A254,МЕТРОСТАНЦИЯ ГОРНА БАНЯ,A3819
A254,МЕТРОСТАНЦИЯ ГОРНА БАНЯ,A3818
A255,МЕТРОСТАНЦИЯ ГОРНА БАНЯ,A3822
A255,ПЛ. СРЕД СЕЛО,A3821
A256,МЕТРОСТАНЦИЯ ВИТОША,A3839
A256,СТУДЕНТСКИ ГРАД,A3827
A259,АВТОСТАНЦИЯ БАНКЯ,A3883
A259,ПЛ. СВ. АЛЕКСАНДЪР НЕВСКИ,A3970
A26,Ж.К. ЛЮЛИН-5,A4260
A26,СТАДИОН ЛОКОМОТИВ - ВРЕМЕННА,A4261
A262,АВТОСТАНЦИЯ БАНКЯ,A3841
A262,МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА,A3840
A27,КВ. ИВАНЯНЕ,A251
A27,КВ. ИВАНЯНЕ,A4318
A27,МЕТРОСТАНЦИЯ СЛИВНИЦА,A2709
A27,МЕТРОСТАНЦИЯ СЛИВНИЦА,A4319
A27,СЕВЕРНА ПРОМИШЛЕНА ЗОНА,A4316
